month,workface,tonnage,tonnageAdj,risk,revenueWan,varCostWan,fixedCostWan,sustainCapexWan,riskExtraCostWan,capexInitialWan,netCashWan,cumCashWan
106,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5702092.696254942
107,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5763116.476926941
108,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5824140.257598941
109,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5885164.038270941
110,No.4,796736.7489374744,796736.7489374744,,63738.93991499796,25495.57596599918,300.0,0.0,0.0,0.0,37943.363948998776,5923107.40221994
111,No.5,480842.0150625254,480842.0150625254,,38467.36120500203,15386.944482000812,300.0,0.0,0.0,0.0,22780.416723001217,5945887.818942941
112,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6006911.599614941
113,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6067935.38028694
114,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6128959.16095894
115,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6189982.94163094
116,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6251006.72230294
117,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6312030.5029749395
118,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6373054.283646939
119,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6434078.064318939
120,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6495101.844990939
121,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6556125.625662939
122,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6617149.4063349385
123,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6678173.187006938
124,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6739196.967678938
125,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6800220.748350938
126,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6861244.529022938
127,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6922268.309694937
128,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,6983292.090366937
129,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,7044315.871038937
130,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,7105339.651710937
131,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,7166363.432382937
132,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,7227387.213054936
133,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,7288410.993726936
134,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,7349434.774398936
135,No.5,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,7410458.555070936
136,No.5,1083641.9630360152,1083641.9630360152,,86691.35704288121,34676.54281715249,300.0,0.0,0.0,0.0,51714.81422572872,7462173.369296664
