ID,X,Y,Ti,Hi,Di,Mi
WF-1-BJ55,497605.59909593995,5403988.216488899,17.51527699775143,85.46511279804805,261.02938258041644,21.007782212348623
WF-1-BJ56,497630.6488229411,5403988.216488899,16.230686444085627,79.20574221446252,267.83064768394667,20.976278652876328
WF-1-BJ57,497655.6985499423,5403988.216488899,15.003095001892772,73.46246450653295,273.95783365096867,20.936101646471194
WF-1-BJ58,497680.7482769434,5403988.216488899,13.972291258597085,69.5009817563194,277.75778189938507,20.865979828308813
WF-1-BJ59,497705.79800394457,5403988.216488899,12.941487515299007,65.53949900609668,281.55773014781016,20.79585801014627
WF-1-BJ60,497730.84773094574,5403988.216488899,12.426477137794945,63.536332383646226,283.49564489599703,20.761154515914214
WF-1-BJ61,497755.8974579469,5403988.216488899,12.367521616346288,63.264672288790074,283.7871844167431,20.757767241883975
WF-1-BJ62,497780.947184948,5403988.216488899,12.308566094897769,62.99301219393456,284.0787239374886,20.75437996785375
WF-1-BJ63,497805.9969119492,5403988.216488899,12.982530053071267,64.80427898969488,282.8931921949628,20.81470049579312
WF-1-BJ64,497831.04663895036,5403988.216488899,13.799356348170209,67.0215546466083,281.4197463522616,20.88743909382452
WF-1-BJ65,497856.0963659515,5403988.216488899,14.633180901765524,69.24818103570783,279.96190933518585,20.958832855064255
WF-1-BJ66,497881.14609295264,5403988.216488899,15.568864054658729,71.53083978147588,278.597605024141,21.022167955946674
WF-1-BJ67,497906.1958199538,5403988.216488899,16.50454720755412,73.81349852724925,277.23330071309306,21.08550305682924
WF-1-BJ68,497931.245546955,5403988.216488899,17.31571242768011,75.70843590973186,276.0477991647685,21.121235017474795
WF-1-BJ69,497956.29527395614,5403988.216488899,17.97416822270501,77.12786984326789,275.08158223268094,21.123114346753713
WF-1-BJ70,497981.34500095726,5403988.216488899,18.632624017728393,78.54730377680065,274.1153653005956,21.124993676032627
WF-1-BJ71,498006.3947279584,5403988.216488899,19.081600717370897,79.43964357274193,273.1910205662715,21.081973934248968
WF-1-BJ72,498031.4444549596,5403988.216488899,19.462708973477703,80.16121187165129,272.28024186766305,21.024407490019158
WF-1-BJ73,498056.49418196076,5403988.216488899,19.832832846251186,80.85899947427254,271.365536186455,20.96501240244912
WF-1-BJ74,498081.5439089619,5403988.216488899,20.03514314987295,81.1934782410747,270.39083615271977,20.87768027405348
WF-1-BJ75,498106.59363596304,5403988.216488899,20.23745345349517,81.5279570078776,269.41613611898237,20.79034814565763
WF-1-BJ76,498131.6433629642,5403988.216488899,20.399827456612265,81.75180546744997,268.5415595185171,20.708384473398603
WF-1-BJ77,498156.6930899654,5403988.216488899,20.493489621635714,81.78531051357325,267.83924887782666,20.6356574225647
WF-1-BJ78,498181.7428169665,5403988.216488899,20.587151786658936,81.81881555969647,267.13693823713794,20.562930371730964
WF-1-BJ79,498206.79254396766,5403988.216488899,20.62947669475752,81.54353356558391,266.9966091587173,20.528127371723315
WF-1-BJ80,498231.84227096883,5403988.216488899,20.646938563910552,81.11870356935465,267.12845218894364,20.51169128902187
WF-1-BJ81,498256.89199797,5403988.216488899,20.664400433063587,80.6938735731254,267.26029521917,20.495255206320422
WF-1-BJ82,498281.9417249711,5403988.216488899,20.653265314037213,79.71593515619173,268.3558147116598,20.547198548170986
WF-1-BJ83,498306.9914519723,5403988.216488899,20.641542255670693,78.72662511515867,269.4711468956062,20.600547735752592
WF-1-BJ84,498332.04117897345,5403988.216488899,20.64906336387412,77.62380107058596,270.7367156774872,20.67105099323739
WF-1-BJ85,498357.0909059746,5403988.216488899,20.70462884384065,76.2375815894504,272.37736035248935,20.78438055388706
WF-1-BJ86,498382.14063297573,5403988.216488899,20.76019432380705,74.851362108318,274.0180050274877,20.897710114536476
WF-1-BJ87,498407.1903599769,5403988.216488899,20.921740792043757,73.3480375695057,275.6600559904759,21.04410786597063
WF-1-BJ88,498432.24008697807,5403988.216488899,21.15628747400276,71.76405050453758,277.3030756113831,21.2132831460359
WF-1-BJ89,498457.28981397924,5403988.216488899,21.390834155961755,70.18006343956942,278.9460952322903,21.382458426101163
WF-1-BJ90,498482.33954098035,5403988.216488899,21.871255208835045,68.41244984162728,280.3244016621574,21.608513812669976
WF-1-BJ91,498507.3892679815,5403988.216488899,22.379520333170056,66.62404143579894,281.6727306162121,21.841010593453312
WF-1-BJ92,498532.4389949827,5403988.216488899,22.956517232934658,64.77014869377477,282.92222995175007,22.087416941579384
WF-1-BJ93,498557.48872198386,5403988.216488899,23.801019150070935,62.66139001263941,283.7870830497519,22.387959517533
WF-1-BJ94,498582.53844898497,5403988.216488899,24.64552106720527,60.55263133150888,284.65193614775177,22.68850209348593
WF-1-BJ95,498607.58817598614,5403988.216488899,25.628767205248714,58.31996680971379,285.2118250154271,23.00989017417058
WF-1-BJ96,498632.6379029873,5403988.216488899,26.74502097926512,55.96851951742472,285.47935884974066,23.14
WF-1-BJ97,498657.6876299885,5403988.216488899,27.861274753281563,53.61707222513555,285.7468926840543,23.14
WF-1-BJ98,498682.7373569896,5403988.216488899,28.887152302268312,51.586463036480396,285.66898293020296,23.14
WF-1-BJ99,498707.78708399076,5403988.216488899,29.89274512958722,49.627865171942005,285.51353921167697,23.14
WF-1-BJ100,498732.8368109919,5403988.216488899,30.815999726253764,47.835151530304856,285.37211160803156,23.14
WF-1-BJ101,498757.8865379931,5403988.216488899,31.151276151297356,47.22701887018488,285.33077322825466,23.14
WF-1-BJ102,498782.9362649942,5403988.216488899,31.48655257634016,46.61888621006632,285.289434848478,23.14
WF-1-BJ103,498807.9859919954,5403988.216488899,31.507194937110686,46.64907227660834,285.43976745874454,23.14
WF-1-BJ104,498833.03571899654,5403988.216488899,31.109015711195653,47.52894911814435,285.8452407460293,23.14
WF-1-BJ105,498858.0854459977,5403988.216488899,30.710836485280645,48.40882595968029,286.25071403331395,23.14
WF-1-BJ106,498883.1351729988,5403988.216488899,30.097606839128154,49.83162887269706,286.8549341417469,23.14
WF-1-BJ107,498908.1849,5404013.883155566,29.954395144390745,50.07707933030747,287.48528540330534,23.14
WF-1-BJ108,498908.1849,5404039.549822232,30.29137511599079,49.14274684328599,287.5188593186563,23.14
WF-1-BJ109,498908.1849,5404065.216488899,30.493650129563868,48.44461170848226,287.687448808358,23.14
WF-1-BJ110,498908.1849,5404090.883155566,30.064937018734188,48.852877751895036,288.48848141866955,23.14
WF-1-BJ111,498908.1849,5404116.549822232,29.636223907920062,49.26114379529299,289.28951402895206,23.14
WF-1-BJ112,498908.1849,5404142.216488899,28.457436236830798,50.51103643528873,291.1859461322414,23.14
WF-1-BJ113,498908.1849,5404167.883155566,27.209275705711516,51.8387693956682,293.1836894914105,23.14
WF-1-BJ114,498908.1849,5404193.549822232,25.719149416764605,53.01818938088075,295.7176454457933,23.14
WF-1-BJ115,498908.1849,5404219.216488899,24.101439135911903,54.119406724674015,298.5343362136118,23.14
WF-1-BJ116,498908.1849,5404244.883155566,22.55724519791902,54.94644510122605,301.32501131229463,22.872066849058534
WF-1-BJ117,498908.1849,5404270.549822232,21.126041943889142,55.352085080923985,304.0757017199408,22.57709135778613
WF-1-BJ118,498883.1351729988,5404296.216488899,19.018042437903713,53.514646618598995,307.83087445818455,22.17933404976657
WF-1-BJ119,498858.0854459977,5404296.216488899,18.167394657561548,51.1609623182492,309.1174600840229,22.04493661706302
WF-1-BJ120,498833.03571899654,5404296.216488899,17.03924917391587,48.503464774120694,310.8913178529611,21.86114139510116
WF-1-BJ121,498807.9859919954,5404296.216488899,15.911103690270128,45.84596722999204,312.6651756218994,21.677346173139288
WF-1-BJ122,498782.9362649942,5404296.216488899,14.808255674617074,43.402456026272844,314.4173777626465,21.495571623422016
WF-1-BJ123,498757.8865379931,5404296.216488899,13.724412040362816,41.11969917267441,316.15331140499137,21.315315076456436
WF-1-BJ124,498732.8368109919,5404296.216488899,12.64056840610601,38.836942319070594,317.88924504734035,21.135058529490433
WF-1-BJ125,498707.78708399076,5404296.216488899,12.42046429260843,38.829203241197845,318.0960398156046,21.085565801107812
WF-1-BJ126,498682.7373569896,5404296.216488899,12.321314982054618,39.14004901459507,318.0886997819487,21.054384741380833
WF-1-BJ127,498657.6876299885,5404296.216488899,12.39776932080087,40.0141421916063,317.71841796634436,21.045990478727774
WF-1-BJ128,498632.6379029873,5404296.216488899,13.256605354637964,43.39771885687587,315.7310911308199,21.139120147902993
WF-1-BJ129,498607.58817598614,5404296.216488899,14.115441388475023,46.781295522145314,313.74376429529553,21.232249817078213
WF-1-BJ130,498582.53844898497,5404296.216488899,15.02363098180368,50.590184249203716,311.4141874102541,21.3154458062293
WF-1-BJ131,498557.48872198386,5404296.216488899,15.983302740876189,54.84272863724983,308.7275993195966,21.38827967830622
WF-1-BJ132,498532.4389949827,5404296.216488899,16.942974499950907,59.095273025305694,306.0410112289329,21.461113550383306
WF-1-BJ133,498507.3892679815,5404296.216488899,17.68134141067824,62.80840452166246,303.2840774712184,21.472558481530534
