ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ65,495104.54,5403525.76,180.3860,0.149148,green,47.74,260.56,0.6431,13.00,0.0,0.0,0.0
WF-1-BJ66,495079.49,5403525.77,179.8254,0.146111,green,47.92,259.29,0.6641,13.00,0.0,0.0,0.0
WF-1-BJ67,495054.45,5403525.77,179.2728,0.143117,green,48.28,257.81,0.6880,13.00,0.0,0.0,0.0
WF-1-BJ68,495029.40,5403525.78,178.7621,0.140350,green,48.86,256.13,0.7145,13.00,0.0,0.0,0.0
WF-1-BJ69,495004.36,5403525.78,178.3294,0.138005,green,49.72,254.25,0.7437,13.00,0.0,0.0,0.0
WF-1-BJ70,494979.31,5403525.79,178.0144,0.136299,green,50.91,252.19,0.7754,13.00,0.0,0.0,0.0
WF-1-BJ71,494954.27,5403525.79,177.8190,0.135241,green,52.37,250.02,0.8089,13.00,0.0,0.0,0.0
WF-1-BJ72,494929.22,5403525.80,177.7470,0.134850,green,54.06,247.80,0.8434,13.00,0.0,0.0,0.0
WF-1-BJ73,494904.18,5403525.80,177.7912,0.135090,green,55.89,245.61,0.8777,13.00,0.0,0.0,0.0
WF-1-BJ74,494879.14,5403525.81,177.9333,0.135860,green,57.77,243.55,0.9106,13.00,0.0,0.0,0.0
WF-1-BJ75,494854.09,5403525.81,178.1427,0.136994,green,59.56,241.73,0.9402,13.00,0.0,0.0,0.0
WF-1-BJ76,494829.05,5403525.82,178.3741,0.138248,green,61.07,240.30,0.9642,13.00,0.0,0.0,0.0
WF-1-BJ77,494804.00,5403525.82,178.5559,0.139233,green,62.07,239.39,0.9799,13.00,0.0,0.0,0.0
WF-1-BJ78,494778.96,5403525.83,178.6372,0.139673,green,62.52,238.99,0.9868,13.00,0.0,0.0,0.0
WF-1-BJ79,494753.91,5403525.83,178.5809,0.139368,green,62.37,239.07,0.9846,13.00,0.0,0.0,0.0
WF-1-BJ80,494728.87,5403525.84,178.3637,0.138191,green,61.64,239.57,0.9735,13.00,0.0,0.0,0.0
WF-1-BJ81,494703.82,5403525.84,177.9759,0.136090,green,60.40,240.39,0.9546,13.00,0.0,0.0,0.0
WF-1-BJ82,494678.78,5403525.85,177.4205,0.133082,green,58.73,241.42,0.9289,13.00,0.0,0.0,0.0
WF-1-BJ83,494653.73,5403525.85,176.6996,0.129175,green,56.73,242.54,0.8978,13.00,0.0,0.0,0.0
WF-1-BJ84,494628.69,5403525.86,175.8373,0.124504,green,54.56,243.63,0.8630,13.00,0.0,0.0,0.0
WF-1-BJ85,494603.65,5403525.86,174.8731,0.119280,green,52.33,244.60,0.8266,13.00,0.0,0.0,0.0
WF-1-BJ86,494578.60,5403525.87,173.8286,0.113621,green,50.10,245.40,0.7894,13.00,0.0,0.0,0.0
WF-1-BJ87,494553.56,5403525.87,172.7246,0.107640,green,47.95,246.02,0.7524,13.00,0.0,0.0,0.0
WF-1-BJ88,494528.51,5403525.88,171.5819,0.101449,green,45.90,246.43,0.7163,13.00,0.0,0.0,0.0
WF-1-BJ89,494503.47,5403525.88,170.4214,0.095161,green,44.00,246.63,0.6819,13.00,0.0,0.0,0.0
WF-1-BJ90,494478.42,5403525.89,169.2683,0.088914,green,42.28,246.61,0.6500,13.00,0.0,0.0,0.0
