ID,X,Y,厚度Ti,弹模Ei,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ82,494678.78,5403525.85,58.73,25.0,241.42,0.9289,13.00,0.0,0.0,0.0
WF-1-BJ83,494653.73,5403525.85,56.73,25.0,242.54,0.8978,13.00,0.0,0.0,0.0
WF-1-BJ84,494628.69,5403525.86,54.56,25.0,243.63,0.8630,13.00,0.0,0.0,0.0
WF-1-BJ85,494603.65,5403525.86,52.33,25.0,244.60,0.8266,13.00,0.0,0.0,0.0
WF-1-BJ86,494578.60,5403525.87,50.10,25.0,245.40,0.7894,13.00,0.0,0.0,0.0
WF-1-BJ87,494553.56,5403525.87,47.95,25.0,246.02,0.7524,13.00,0.0,0.0,0.0
WF-1-BJ88,494528.51,5403525.88,45.90,25.0,246.43,0.7163,13.00,0.0,0.0,0.0
WF-1-BJ89,494503.47,5403525.88,44.00,25.0,246.63,0.6819,13.00,0.0,0.0,0.0
WF-1-BJ90,494478.42,5403525.89,42.28,25.0,246.61,0.6500,13.00,0.0,0.0,0.0
WF-1-BJ91,494453.38,5403525.89,40.76,25.0,246.42,0.6213,13.00,0.0,0.0,0.0
WF-1-BJ92,494428.33,5403525.90,39.44,25.0,246.10,0.5959,13.00,0.0,0.0,0.0
WF-1-BJ93,494403.29,5403525.90,38.33,25.0,245.71,0.5741,13.00,0.0,0.0,0.0
WF-1-BJ94,494378.24,5403525.91,37.41,25.0,245.28,0.5562,13.00,0.0,0.0,0.0
WF-1-BJ95,494353.20,5403525.91,36.71,25.0,244.88,0.5421,13.00,0.0,0.0,0.0
WF-1-BJ96,494328.15,5403525.92,36.19,25.0,244.54,0.5319,13.00,0.0,0.0,0.0
WF-1-BJ97,494303.11,5403525.92,35.89,25.0,244.34,0.5257,13.00,0.0,0.0,0.0
WF-1-BJ98,494278.07,5403525.93,35.76,25.0,244.29,0.5228,13.00,0.0,0.0,0.0
WF-1-BJ99,494253.02,5403525.93,35.76,25.0,244.41,0.5222,13.00,0.0,0.0,0.0
WF-1-BJ100,494227.98,5403525.94,35.87,25.0,244.66,0.5234,13.00,0.0,0.0,0.0
