ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ34,497058.05,5404171.90,191.1204,0.431486,green,32.36,128.87,172.2468,13.00,65.0,0.0,0.0
WF-1-BJ35,497083.12,5404171.90,192.1854,0.436460,green,32.74,130.42,169.0334,13.00,65.0,0.0,0.0
WF-1-BJ36,497108.19,5404171.90,193.2505,0.441434,green,33.13,131.97,165.8199,13.00,65.0,0.0,0.0
WF-1-BJ37,497133.26,5404171.90,193.4969,0.442585,green,33.09,132.16,166.3664,13.00,65.0,0.0,0.0
WF-1-BJ38,497158.33,5404171.90,193.6708,0.443397,green,33.01,132.22,167.2463,13.00,65.0,0.0,0.0
WF-1-BJ39,497183.40,5404171.90,193.6617,0.443354,green,32.84,131.97,168.9980,13.00,65.0,0.0,0.0
WF-1-BJ40,497208.47,5404171.90,193.0294,0.440401,green,32.35,130.65,173.7194,13.00,65.0,0.0,0.0
WF-1-BJ41,497233.54,5404171.90,192.3971,0.437448,green,31.86,129.33,178.4407,13.00,65.0,0.0,0.0
WF-1-BJ42,497258.61,5404171.90,191.4688,0.433113,green,31.31,127.51,184.1898,13.00,65.0,0.0,0.0
WF-1-BJ43,497283.68,5404171.90,190.2838,0.427578,green,30.70,125.26,190.8307,13.00,65.0,0.0,0.0
WF-1-BJ44,497308.75,5404171.90,189.0987,0.422044,green,30.09,123.02,197.4717,13.00,65.0,0.0,0.0
WF-1-BJ45,497333.82,5404171.90,187.5836,0.414968,green,29.54,120.29,204.3987,13.00,65.0,0.0,0.0
WF-1-BJ46,497358.90,5404171.90,186.0075,0.407607,green,29.01,117.47,211.3788,13.00,65.0,0.0,0.0
WF-1-BJ47,497383.97,5404171.90,184.3879,0.400043,green,28.50,114.60,218.2941,13.00,65.0,0.0,0.0
WF-1-BJ48,497409.04,5404171.90,182.5264,0.391349,green,28.06,111.48,224.8484,13.00,65.0,0.0,0.0
WF-1-BJ49,497434.11,5404171.90,180.6650,0.382656,green,27.63,108.35,231.4027,13.00,65.0,0.0,0.0
WF-1-BJ50,497459.18,5404171.90,178.7301,0.373619,green,27.20,105.23,237.5569,13.00,65.0,0.0,0.0
WF-1-BJ51,497484.25,5404171.90,176.7091,0.364180,green,26.77,102.12,243.2426,13.00,65.0,0.0,0.0
WF-1-BJ52,497509.32,5404171.90,174.6882,0.354742,green,26.35,99.00,248.9282,13.00,65.0,0.0,0.0
WF-1-BJ53,497534.39,5404171.90,172.6488,0.345218,green,25.85,96.12,253.7056,13.00,65.0,0.0,0.0
WF-1-BJ54,497559.46,5404171.90,170.6040,0.335667,green,25.34,93.31,258.2101,13.00,65.0,0.0,0.0
WF-1-BJ55,497584.53,5404171.90,168.5716,0.326175,green,24.81,90.54,262.6140,13.00,65.0,0.0,0.0
WF-1-BJ56,497609.60,5404171.90,166.6871,0.317374,green,24.19,88.28,265.8181,13.00,65.0,0.0,0.0
WF-1-BJ57,497634.67,5404171.90,164.8025,0.308573,green,23.57,86.02,269.0221,13.00,65.0,0.0,0.0
WF-1-BJ58,497659.75,5404171.90,163.1098,0.300667,green,22.97,84.06,271.7611,13.00,65.0,0.0,0.0
WF-1-BJ59,497684.82,5404171.90,161.7221,0.294186,green,22.41,82.56,273.7596,13.00,65.0,0.0,0.0
WF-1-BJ60,497709.89,5404171.90,160.3345,0.287706,green,21.84,81.07,275.7581,13.00,65.0,0.0,0.0
WF-1-BJ61,497734.96,5404171.90,159.5262,0.283931,green,21.46,80.20,277.1122,13.00,65.0,0.0,0.0
WF-1-BJ62,497760.03,5404171.90,158.9730,0.281347,green,21.16,79.61,278.1826,13.00,65.0,0.0,0.0
WF-1-BJ63,497785.10,5404171.90,158.4218,0.278773,green,20.85,79.02,279.2513,13.00,65.0,0.0,0.0
WF-1-BJ64,497810.17,5404171.90,158.6204,0.279700,green,20.82,79.16,279.7134,13.00,65.0,0.0,0.0
WF-1-BJ65,497835.24,5404171.90,158.8190,0.280628,green,20.79,79.31,280.1755,13.00,65.0,0.0,0.0
WF-1-BJ66,497860.31,5404171.90,159.1118,0.281995,green,20.79,79.56,280.4691,13.00,65.0,0.0,0.0
WF-1-BJ67,497885.38,5404171.90,159.6134,0.284338,green,20.88,80.07,280.3898,13.00,65.0,0.0,0.0
WF-1-BJ68,497910.45,5404171.90,160.1150,0.286680,green,20.96,80.57,280.3104,13.00,65.0,0.0,0.0
WF-1-BJ69,497935.53,5404171.90,160.5845,0.288873,green,21.04,81.15,279.7011,13.00,65.0,0.0,0.0
WF-1-BJ70,497960.60,5404171.90,161.0342,0.290974,green,21.13,81.78,278.7663,13.00,65.0,0.0,0.0
WF-1-BJ71,497985.67,5404171.90,161.4840,0.293074,green,21.21,82.41,277.8314,13.00,65.0,0.0,0.0
WF-1-BJ72,498010.74,5404171.90,161.8075,0.294585,green,21.28,83.19,275.6101,13.00,65.0,0.0,0.0
WF-1-BJ73,498035.81,5404171.90,162.1210,0.296049,green,21.36,83.98,273.2889,13.00,65.0,0.0,0.0
WF-1-BJ74,498060.88,5404171.90,162.4244,0.297466,green,21.44,84.84,270.5855,13.00,65.0,0.0,0.0
WF-1-BJ75,498085.95,5404171.90,162.6944,0.298727,green,21.53,85.92,266.6468,13.00,65.0,0.0,0.0
