ID,Cat,X,Y,ODI,ODI_norm,Ti,Hi,Di,Mi
BJ8,blue,498958.8109,5403926.114,104.29606893250528,0.1462483369921371,26.876602680145464,57.96856609545037,288.6052537343561,23.647310798596376
50-14,geo,495394.96,5404813.13,102.22743891343542,0.13479875918104736,6.996516365089617,100.13195557583644,299.79483426831183,0
50-15,geo,495558.87,5404339.03,86.14454291859525,0.04578217940455156,10.696360676642431,94.96552460358399,203.8480567905465,0
50-16,geo,495724.71,5403865.27,95.6347477098384,0.09830913550536872,67.87786737238224,62.1096652499601,178.55824439614832,0
52-17,geo,495869.64,5404980.28,92.16956084024324,0.079129810866526,13.787253202218185,76.59884942068692,290.77660401637337,0
52-18,geo,496022.31,5404502.09,100.63954112313522,0.12600996701497677,10.802438843099559,118.00361709832347,229.71224033079937,0
52-19,geo,496166.57,5404015.05,83.52447403357213,0.03128046460154587,12.199581667065164,91.445568185978,192.80155455820483,0
54-16,geo,496497.74,5404659.17,98.15301316536376,0.11224738256560503,7.299661205137876,115.48496899530309,231.909098093961,0
54-17,geo,496655.46,5404184.68,100.36584758270789,0.12449511155091249,31.632076585747054,88.85049918662209,244.4626534248036,0
54-18,geo,496814.18,5403710.73,86.1141705787625,0.04561407275183252,23.183162331400297,95.82689997510062,163.46037774927933,0
56-18,geo,496675.16,5405766.01,113.29330967681713,0.1960468060453055,31.35688348996579,73.00938163099495,367.97156700493304,0
56-20,geo,497136.01,5404331.36,110.33199636472186,0.17965635106916814,42.302542426066445,153.68644247985495,96.34014280397436,0
56-22,geo,497291.62,5403856.01,125.27420778183048,0.2623594012583287,23.986753969365452,194.58296740663815,131.99082698946356,0
60-18,geo,497934.73,5405121.27,111.13662644525417,0.18410986601928978,7.779613353427024,85.03859004071307,393.3243889503244,0
60-20,geo,498232.97,5404152.17,127.4824445456469,0.27458168287444557,21.953776901034665,90.74516898742826,248.8583234878655,19.481153011911772
64-24,geo,498879.63,5405400.98,131.98847510544334,0.29952193175313857,19.677945541612143,126.4920940458836,372.1935098688027,0
BK12-2,geo,497464.39,5404959.31,116.02735895490349,0.21117938638119318,14.60483496032637,101.83285177536301,356.83871846581263,0
BK12-3,geo,497621.5,5404458.17,107.39168821296354,0.16338215671745143,47.71126722422848,62.24286425580121,311.53493637598046,0
BK12-4,geo,497754,5403998.03,168.8142820095269,0.5033476220493942,12.194059716264915,62.65869693390099,284.31600565322884,20.744470752296728
BK12-7,geo,498083.15,5404638.49,98.76135907642265,0.11561449209244973,19.176510551953626,46.220981428689576,388.73251817333505,0
BK12-8,geo,498378.44,5403689.89,77.87293743083943,0,12.271841550530773,49.22906775544344,273.11533575653414,0
BK14-9,geo,499027.9391,5404918.19,133.67403037289282,0.30885124439563444,47.183947454547656,119.96733261235146,317.0020155563583,0
BK17-6,geo,498782.26,5404074.31,196.44688814265032,0.656290231954403,33.90684523957599,41.61461319480937,284.1627637214279,21.57
BK20-1,geo,498695.79,5404381,125.9829637280406,0.26628226628513235,7.951356513242335,28.60157438033999,326.3661707269399,20.38220845540492
BK23-3,geo,498046.92,5404790.11,117.36904217259423,0.21860541532651936,11.424368794551016,111.04053318145104,349.5779966989163,0
BK23-4,geo,498616.54,5404670.77,126.60382291855421,0.2697186350634952,23.32672756065915,134.90001531923156,305.10055826176267,0
BK23-5,geo,496173.39,5405602.25,115.96322957365685,0.2108244392259302,9.64811541889802,164.53803905874395,200.28909911698577,0
BK23-6,geo,496830.86,5405285.47,119.61449507109451,0.23103368304259744,8.206169740141071,123.57734865078113,338.9048514908885,0
BK23-8,geo,497760.29,5405592.22,110.57851986977005,0.18102082418774976,9.273012685153304,73.24756997062292,417.5623351650098,0
BND-1,gray,495394.96,5403689.89,96.14481617488042,0.1011322931148226,38.97680814077955,83.40445225720815,211.37999341531156,0
BND-2,gray,499027.9391,5403689.89,94.2813176850968,0.09081808962607138,22.85316748544127,69.4792632033663,286.61893567941274,0
BND-3,gray,499027.9391,5405766.01,119.14544463389946,0.2284375544799823,21.245083040793368,107.82706450594564,339.57174223484174,0
BND-4,gray,495394.96,5405766.01,104.95750476982425,0.1499092918350104,16.478237061038186,108.06646106349348,267.2489380055088,0
BJ1,blue,495601.8241,5404270.607,88.01171668099332,0.05611672501315413,13.200146275778724,94.84693039488405,208.14380219984338,0
BJ2,blue,495603.0531,5405808.912,106.6204014882943,0.1591131925782132,16.13711708294668,113.23441761252559,264.2560668227804,0
BJ3,blue,496085.1344,5404207.591,93.1264758257434,0.08442620146517366,18.33256978994372,97.70666377175841,216.34034548582486,0
BJ4,blue,496085.1344,5404272.579,95.65895627867411,0.09844312654776127,17.565436718006495,101.7249939099088,223.30586171428237,0
BJ5,blue,496170.8574,5403926.975,86.20058309346351,0.046092353933967746,15.591730792946965,91.88699946313521,197.80285364523482,0
BJ6,blue,496177.6283,5404207.591,92.93419250458784,0.08336194017772738,18.024407900500726,97.67849475227635,216.1490501233559,0
BJ7,blue,498958.8109,5405677.692,121.98778548320398,0.2441695135155492,21.034339681631938,111.76101008974648,346.9132081643023,0
BJ8,blue,498958.8109,5403926.114,91.47837814677466,0.07530421133563192,26.876602680145464,57.96856609545037,288.6052537343561,0
WF-1-LOC1,pink,496205.6362,5404171.902,103.12756922027455,0.13978085452592143,17.757372942529233,96.06878831380507,212.10478263006542,21.57
WF-1-LOC2,pink,498938.3595,5404171.902,102.09216798283009,0.1340500535008307,26.366271277762554,53.98794210593565,294.38825416309635,21.57
WF-1-LOC3,pink,498938.3595,5403926.235,102.81626676312578,0.13805783896825738,27.207237040689904,56.948329036823104,288.213004243328,21.57
WF-1-LOC4,pink,496205.6362,5403926.235,98.45163206186999,0.11390019638919402,15.972279270574557,92.27290409635715,199.04055308501415,21.57
WF-2-LOC1,pink,497646.1295,5404420.61,118.29787471871502,0.2237463735511633,46.27008141857999,63.986479156663506,309.759418083492,20.537198155529595
WF-2-LOC2,pink,498938.3595,5404420.61,106.15784905333956,0.15655302954910627,18.896951310964617,65.26093100369282,311.49755490902425,21.49
WF-2-LOC3,pink,498938.3595,5404201.902,102.32172856104987,0.13532063919206413,24.916713902530386,55.2439389835091,297.0304276501183,21.49
