ID,X,Y,厚度Ti,弹模Ei,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ31,497004.41,5403988.22,26.17,24.9,122.74,195.1222,21.37,0.0,0.0,0.0
WF-1-BJ32,497029.46,5403988.22,26.16,24.9,125.85,192.8574,21.34,0.0,0.0,0.0
WF-1-BJ33,497054.51,5403988.22,26.12,24.9,129.26,190.3815,21.24,0.0,0.0,0.0
WF-1-BJ34,497079.55,5403988.22,26.04,24.9,133.00,187.6667,21.07,0.0,0.0,0.0
WF-1-BJ35,497104.60,5403988.22,25.96,24.9,136.75,184.9519,20.90,0.0,0.0,0.0
WF-1-BJ36,497129.65,5403988.22,25.83,25.0,140.76,181.9807,20.63,0.0,0.0,0.0
WF-1-BJ37,497154.70,5403988.22,25.67,25.0,144.85,178.9351,20.34,0.0,0.0,0.0
WF-1-BJ38,497179.75,5403988.22,25.52,25.0,148.86,175.9509,20.05,0.0,0.0,0.0
WF-1-BJ39,497204.80,5403988.22,25.34,25.0,152.02,173.6562,19.77,0.0,0.0,0.0
WF-1-BJ40,497229.85,5403988.22,25.17,25.0,155.19,171.3615,19.49,0.0,0.0,0.0
WF-1-BJ41,497254.90,5403988.22,25.01,25.0,157.17,170.2309,19.29,0.0,0.0,0.0
WF-1-BJ42,497279.95,5403988.22,24.87,25.0,157.29,170.9384,19.21,0.0,0.0,0.0
WF-1-BJ43,497305.00,5403988.22,24.72,25.0,157.42,171.6458,19.13,0.0,0.0,0.0
WF-1-BJ44,497330.05,5403988.22,24.56,25.0,154.80,175.3671,19.23,0.0,0.0,0.0
WF-1-BJ45,497355.10,5403988.22,24.38,25.0,150.98,180.4181,19.40,0.0,0.0,0.0
WF-1-BJ46,497380.15,5403988.22,24.21,25.0,147.15,185.4691,19.57,0.0,0.0,0.0
WF-1-BJ47,497405.20,5403988.22,23.85,25.0,140.74,193.6180,19.83,0.0,0.0,0.0
WF-1-BJ48,497430.25,5403988.22,23.49,25.0,134.33,201.7669,20.09,0.0,0.0,0.0
WF-1-BJ49,497455.30,5403988.22,23.04,25.0,127.66,210.2016,20.34,0.0,0.0,0.0
WF-1-BJ50,497480.35,5403988.22,22.38,25.0,120.42,219.2842,20.54,0.0,0.0,0.0
WF-1-BJ51,497505.40,5403988.22,21.72,25.0,113.18,228.3669,20.74,0.0,0.0,0.0
WF-1-BJ52,497530.45,5403988.22,20.83,25.0,106.02,237.0920,20.87,0.0,0.0,0.0
WF-1-BJ53,497555.50,5403988.22,19.81,25.0,98.91,245.5909,20.95,0.0,0.0,0.0
WF-1-BJ54,497580.55,5403988.22,18.78,25.0,91.79,254.0897,21.03,0.0,0.0,0.0
WF-1-BJ55,497605.60,5403988.22,17.52,25.0,85.47,261.0294,21.01,0.0,0.0,0.0
WF-1-BJ56,497630.65,5403988.22,16.23,25.0,79.21,267.8306,20.98,0.0,0.0,0.0
WF-1-BJ57,497655.70,5403988.22,15.00,25.0,73.46,273.9578,20.94,0.0,0.0,0.0
WF-1-BJ58,497680.75,5403988.22,13.97,25.0,69.50,277.7578,20.87,0.0,0.0,0.0
WF-1-BJ59,497705.80,5403988.22,12.94,25.0,65.54,281.5577,20.80,0.0,0.0,0.0
WF-1-BJ60,497730.85,5403988.22,12.43,25.0,63.54,283.4956,20.76,0.0,0.0,0.0
WF-1-BJ61,497755.90,5403988.22,12.37,25.0,63.26,283.7872,20.76,0.0,0.0,0.0
WF-1-BJ62,497780.95,5403988.22,12.31,25.0,62.99,284.0787,20.75,0.0,0.0,0.0
WF-1-BJ63,497806.00,5403988.22,12.98,25.0,64.80,282.8932,20.81,0.0,0.0,0.0
WF-1-BJ64,497831.05,5403988.22,13.80,25.0,67.02,281.4197,20.89,0.0,0.0,0.0
WF-1-BJ65,497856.10,5403988.22,14.63,25.0,69.25,279.9619,20.96,0.0,0.0,0.0
WF-1-BJ66,497881.15,5403988.22,15.57,25.0,71.53,278.5976,21.02,0.0,0.0,0.0
WF-1-BJ67,497906.20,5403988.22,16.50,25.0,73.81,277.2333,21.09,0.0,0.0,0.0
WF-1-BJ68,497931.25,5403988.22,17.32,25.0,75.71,276.0478,21.12,0.0,0.0,0.0
WF-1-BJ69,497956.30,5403988.22,17.97,25.0,77.13,275.0816,21.12,0.0,0.0,0.0
WF-1-BJ70,497981.35,5403988.22,18.63,25.0,78.55,274.1154,21.12,0.0,0.0,0.0
WF-1-BJ71,498006.39,5403988.22,19.08,25.0,79.44,273.1910,21.08,0.0,0.0,0.0
WF-1-BJ72,498031.44,5403988.22,19.46,25.0,80.16,272.2802,21.02,0.0,0.0,0.0
WF-1-BJ73,498056.49,5403988.22,19.83,25.0,80.86,271.3655,20.97,0.0,0.0,0.0
WF-1-BJ74,498081.54,5403988.22,20.04,25.0,81.19,270.3908,20.88,0.0,0.0,0.0
WF-1-BJ75,498106.59,5403988.22,20.24,25.0,81.53,269.4161,20.79,0.0,0.0,0.0
WF-1-BJ76,498131.64,5403988.22,20.40,25.0,81.75,268.5416,20.71,0.0,0.0,0.0
WF-1-BJ77,498156.69,5403988.22,20.49,25.0,81.79,267.8392,20.64,0.0,0.0,0.0
WF-1-BJ78,498181.74,5403988.22,20.59,25.0,81.82,267.1369,20.56,0.0,0.0,0.0
WF-1-BJ79,498206.79,5403988.22,20.63,25.0,81.54,266.9966,20.53,0.0,0.0,0.0
WF-1-BJ80,498231.84,5403988.22,20.65,25.0,81.12,267.1285,20.51,0.0,0.0,0.0
WF-1-BJ81,498256.89,5403988.22,20.66,25.0,80.69,267.2603,20.50,0.0,0.0,0.0
WF-1-BJ82,498281.94,5403988.22,20.65,25.0,79.72,268.3558,20.55,0.0,0.0,0.0
WF-1-BJ83,498306.99,5403988.22,20.64,25.0,78.73,269.4711,20.60,0.0,0.0,0.0
WF-1-BJ84,498332.04,5403988.22,20.65,25.0,77.62,270.7367,20.67,0.0,0.0,0.0
WF-1-BJ85,498357.09,5403988.22,20.70,25.0,76.24,272.3774,20.78,0.0,0.0,0.0
WF-1-BJ86,498382.14,5403988.22,20.76,25.0,74.85,274.0180,20.90,0.0,0.0,0.0
WF-1-BJ87,498407.19,5403988.22,20.92,25.0,73.35,275.6601,21.04,0.0,0.0,0.0
WF-1-BJ88,498432.24,5403988.22,21.16,25.0,71.76,277.3031,21.21,0.0,0.0,0.0
WF-1-BJ89,498457.29,5403988.22,21.39,25.0,70.18,278.9461,21.38,0.0,0.0,0.0
WF-1-BJ90,498482.34,5403988.22,21.87,25.0,68.41,280.3244,21.61,0.0,0.0,0.0
WF-1-BJ91,498507.39,5403988.22,22.38,25.0,66.62,281.6727,21.84,0.0,0.0,0.0
WF-1-BJ92,498532.44,5403988.22,22.96,25.0,64.77,282.9222,22.09,0.0,0.0,0.0
WF-1-BJ93,498557.49,5403988.22,23.80,25.0,62.66,283.7871,22.39,0.0,0.0,0.0
WF-1-BJ94,498582.54,5403988.22,24.65,25.0,60.55,284.6519,22.69,0.0,0.0,0.0
WF-1-BJ95,498607.59,5403988.22,25.63,25.0,58.32,285.2118,23.01,0.0,0.0,0.0
WF-1-BJ96,498632.64,5403988.22,26.75,25.0,55.97,285.4794,23.14,0.0,0.0,0.0
WF-1-BJ97,498657.69,5403988.22,27.86,25.0,53.62,285.7469,23.14,0.0,0.0,0.0
WF-1-BJ98,498682.74,5403988.22,28.89,25.0,51.59,285.6690,23.14,0.0,0.0,0.0
WF-1-BJ99,498707.79,5403988.22,29.89,25.0,49.63,285.5135,23.14,0.0,0.0,0.0
WF-1-BJ100,498732.84,5403988.22,30.82,25.0,47.84,285.3721,23.14,0.0,0.0,0.0
WF-1-BJ101,498757.89,5403988.22,31.15,25.0,47.23,285.3308,23.14,0.0,0.0,0.0
WF-1-BJ102,498782.94,5403988.22,31.49,25.0,46.62,285.2894,23.14,0.0,0.0,0.0
WF-1-BJ103,498807.99,5403988.22,31.51,25.0,46.65,285.4398,23.14,0.0,0.0,0.0
WF-1-BJ104,498833.04,5403988.22,31.11,25.0,47.53,285.8452,23.14,0.0,0.0,0.0
WF-1-BJ105,498858.09,5403988.22,30.71,25.0,48.41,286.2507,23.14,0.0,0.0,0.0
WF-1-BJ106,498883.14,5403988.22,30.10,25.0,49.83,286.8549,23.14,0.0,0.0,0.0
WF-1-BJ107,498908.18,5404013.88,29.95,25.0,50.08,287.4853,23.14,0.0,0.0,0.0
WF-1-BJ108,498908.18,5404039.55,30.29,25.0,49.14,287.5189,23.14,0.0,0.0,0.0
WF-1-BJ109,498908.18,5404065.22,30.49,25.0,48.44,287.6874,23.14,0.0,0.0,0.0
WF-1-BJ110,498908.18,5404090.88,30.06,25.0,48.85,288.4885,23.14,0.0,0.0,0.0
WF-1-BJ111,498908.18,5404116.55,29.64,25.0,49.26,289.2895,23.14,0.0,0.0,0.0
WF-1-BJ112,498908.18,5404142.22,28.46,25.0,50.51,291.1859,23.14,0.0,0.0,0.0
WF-1-BJ113,498908.18,5404167.88,27.21,25.0,51.84,293.1837,23.14,0.0,0.0,0.0
WF-1-BJ114,498908.18,5404193.55,25.72,25.0,53.02,295.7176,23.14,0.0,0.0,0.0
WF-1-BJ115,498908.18,5404219.22,24.10,25.0,54.12,298.5343,23.14,0.0,0.0,0.0
WF-1-BJ116,498908.18,5404244.88,22.56,25.0,54.95,301.3250,22.87,0.0,0.0,0.0
WF-1-BJ117,498908.18,5404270.55,21.13,25.0,55.35,304.0757,22.58,0.0,0.0,0.0
WF-1-BJ118,498883.14,5404296.22,19.02,25.0,53.51,307.8309,22.18,0.0,0.0,0.0
WF-1-BJ119,498858.09,5404296.22,18.17,25.0,51.16,309.1175,22.04,0.0,0.0,0.0
WF-1-BJ120,498833.04,5404296.22,17.04,25.0,48.50,310.8913,21.86,0.0,0.0,0.0
WF-1-BJ121,498807.99,5404296.22,15.91,25.0,45.85,312.6652,21.68,0.0,0.0,0.0
WF-1-BJ122,498782.94,5404296.22,14.81,25.0,43.40,314.4174,21.50,0.0,0.0,0.0
WF-1-BJ123,498757.89,5404296.22,13.72,25.0,41.12,316.1533,21.32,0.0,0.0,0.0
WF-1-BJ124,498732.84,5404296.22,12.64,25.0,38.84,317.8892,21.14,0.0,0.0,0.0
WF-1-BJ125,498707.79,5404296.22,12.42,25.0,38.83,318.0960,21.09,0.0,0.0,0.0
WF-1-BJ126,498682.74,5404296.22,12.32,25.0,39.14,318.0887,21.05,0.0,0.0,0.0
WF-1-BJ127,498657.69,5404296.22,12.40,25.0,40.01,317.7184,21.05,0.0,0.0,0.0
WF-1-BJ128,498632.64,5404296.22,13.26,25.0,43.40,315.7311,21.14,0.0,0.0,0.0
WF-1-BJ129,498607.59,5404296.22,14.12,25.0,46.78,313.7438,21.23,0.0,0.0,0.0
WF-1-BJ130,498582.54,5404296.22,15.02,25.0,50.59,311.4142,21.32,0.0,0.0,0.0
WF-1-BJ131,498557.49,5404296.22,15.98,25.0,54.84,308.7276,21.39,0.0,0.0,0.0
WF-1-BJ132,498532.44,5404296.22,16.94,25.0,59.10,306.0410,21.46,0.0,0.0,0.0
WF-1-BJ133,498507.39,5404296.22,17.68,25.0,62.81,303.2841,21.47,0.0,0.0,0.0
WF-1-BJ134,498482.34,5404296.22,18.36,25.0,66.38,300.5091,21.47,0.0,0.0,0.0
WF-1-BJ135,498457.29,5404296.22,19.02,25.0,69.86,297.7274,21.46,0.0,0.0,0.0
WF-1-BJ136,498432.24,5404296.22,19.44,25.0,72.44,294.8866,21.39,0.0,0.0,0.0
WF-1-BJ137,498407.19,5404296.22,19.87,25.0,75.02,292.0458,21.31,0.0,0.0,0.0
WF-1-BJ138,498382.14,5404296.22,20.23,25.0,77.24,289.2694,21.23,0.0,0.0,0.0
WF-1-BJ139,498357.09,5404296.22,20.48,25.0,78.94,286.5868,21.13,0.0,0.0,0.0
WF-1-BJ140,498332.04,5404296.22,20.74,25.0,80.64,283.9041,21.02,0.0,0.0,0.0
WF-1-BJ141,498306.99,5404296.22,20.92,25.0,81.77,281.9493,20.94,0.0,0.0,0.0
WF-1-BJ142,498281.94,5404296.22,21.06,25.0,82.67,280.2860,20.87,0.0,0.0,0.0
WF-1-BJ143,498256.89,5404296.22,21.20,25.0,83.55,278.6617,20.80,0.0,0.0,0.0
WF-1-BJ144,498231.84,5404296.22,21.28,25.0,83.73,278.9305,20.81,0.0,0.0,0.0
WF-1-BJ145,498206.79,5404296.22,21.35,25.0,83.91,279.1993,20.83,0.0,0.0,0.0
WF-1-BJ146,498181.74,5404296.22,21.42,25.0,83.95,279.9654,20.87,0.0,0.0,0.0
WF-1-BJ147,498156.69,5404296.22,21.49,25.0,83.68,281.7585,20.96,0.0,0.0,0.0
WF-1-BJ148,498131.64,5404296.22,21.56,25.0,83.42,283.5516,21.05,0.0,0.0,0.0
WF-1-BJ149,498106.59,5404296.22,21.68,25.0,83.10,285.4139,21.16,0.0,0.0,0.0
WF-1-BJ150,498081.54,5404296.22,21.82,25.0,82.75,287.3163,21.28,0.0,0.0,0.0
WF-1-BJ151,498056.49,5404296.22,21.96,25.0,82.40,289.2186,21.40,0.0,0.0,0.0
WF-1-BJ152,498031.44,5404296.22,22.21,25.0,82.14,290.3654,21.50,0.0,0.0,0.0
WF-1-BJ153,498006.39,5404296.22,22.48,25.0,81.89,291.4627,21.61,0.0,0.0,0.0
WF-1-BJ154,497981.35,5404296.22,22.79,25.0,81.66,292.3451,21.70,0.0,0.0,0.0
WF-1-BJ155,497956.30,5404296.22,23.23,25.0,81.49,292.5643,21.78,0.0,0.0,0.0
WF-1-BJ156,497931.25,5404296.22,23.67,25.0,81.33,292.7835,21.85,0.0,0.0,0.0
WF-1-BJ157,497906.20,5404296.22,24.23,25.0,81.16,292.7050,21.91,0.0,0.0,0.0
WF-1-BJ158,497881.15,5404296.22,24.89,25.0,81.00,292.3838,21.94,0.0,0.0,0.0
WF-1-BJ159,497856.10,5404296.22,25.56,25.0,80.84,292.0626,21.98,0.0,0.0,0.0
